Title,CDID,Unit,,,,,,,,,,,,,,,,,,,
LFS: Economically active: UK: Male: Aged 50-64: 000s: SA,YBZY,000's,,,,,,,,,,,,,,,,,,,
LFS: Economically active: UK: All: Aged 25-34: 000s: SA,YBZR,000's,,,,,,,,,,,,,,,,,,,
LFS: Economically active: UK: Female: Aged 18-24: 000s: SA,YBZQ,000's,,,,,,,,,,,,,,,,,,,
LFS: Economically active: UK: Female: Aged 25-34: 000s: SA,YBZT,000's,,,,,,,,,,,,,,,,,,,
LFS: Economically active: UK: Male: Aged 25-34: 000s: SA,YBZS,000's,,,,,,,,,,,,,,,,,,,
LFS: Economically active: UK: Male: Aged 35-49: 000s: SA,YBZV,000's,,,,,,,,,,,,,,,,,,,
LFS: Economically active: UK: All: Aged 35-49: 000s: SA,YBZU,000's,,,,,,,,,,,,,,,,,,,
LFS: Economically active: UK: Female: Aged 35-49: 000s: SA,YBZW,000's,,,,,,,,,,,,,,,,,,,
UK Job Vacancies ratio per 100 emp jobs - Other Service Activities,JPC3,,,,,,,,,,,,,,,,,,,,
UK Job Vacancies ratio per 100 emp jobs - Total Services,JPC4,,,,,,,,,,,,,,,,,,,,
"UK Job Vacancies ratio per 100 emp jobs - Arts, Entertainment & Recreation",JPC2,,,,,,,,,,,,,,,,,,,,
"Number of unemployed people per vacancy (UK exc Agricultue, Forestry & Fishing)",JPC5,,,,,,,,,,,,,,,,,,,,
LFS: In employment: Aged 16-24: In full-time education: UK: Female: 000s: SA,AGNZ,000's,,,,,,,,,,,,,,,,,,,
LFS: In employment: Aged 16-17: In full-time education: UK: Female: 000s: SA,AGNX,000's,,,,,,,,,,,,,,,,,,,
LFS: In employment: Aged 18-24: In full-time education: UK: Female: 000s: SA,AGNY,000's,,,,,,,,,,,,,,,,,,,
LFS: In employment: Aged 18-24: In full-time education: UK: Male: 000s: SA,AGNV,000's,,,,,,,,,,,,,,,,,,,
LFS: In employment: Aged 16-24: In full-time education: UK: Male: 000s: SA,AGNW,000's,,,,,,,,,,,,,,,,,,,
LFS: In employment: Aged 16-24: In full-time education: UK: All: 000s: SA,AGNT,000's,,,,,,,,,,,,,,,,,,,
LFS: In employment: Aged 16-17: In full-time education: UK: Male: 000s: SA,AGNU,000's,,,,,,,,,,,,,,,,,,,
LFS: In employment: Aged 16-17: In full-time education: UK: All: 000s: SA,AGNR,000's,,,,,,,,,,,,,,,,,,,
LFS: In employment: Aged 18-24: In full-time education: UK: All: 000s: SA,AGNS,000's,,,,,,,,,,,,,,,,,,,
Number of stoppages in progress in period,BLUU,,,,,,,,,,,,,,,,,,,,
LFS: In employment: Aged 16-24: Not in full-time education: UK: Female: 000s: SA,AGNP,000's,,,,,,,,,,,,,,,,,,,
Number of workers involved in period,BLUT,,,,,,,,,,,,,,,,,,,,
LFS: In employment: Aged 16-17: Not in full-time education: UK: Female: 000s: SA,AGNN,000's,,,,,,,,,,,,,,,,,,,
LFS: In employment: Aged 18-24: Not in full-time education: UK: Female: 000s: SA,AGNO,000's,,,,,,,,,,,,,,,,,,,
LFS: In employment: Aged 18-24: Not in full-time education: UK: Male: 000s: SA,AGNL,000's,,,,,,,,,,,,,,,,,,,
LFS: In employment: Aged 16-24: Not in full-time education: UK: Male: 000s: SA,AGNM,000's,,,,,,,,,,,,,,,,,,,
