Major Group,Sub-Major Group,Minor Group,Unit   Group,Group Title
1.0,,,,"MANAGERS, DIRECTORS AND SENIOR OFFICIALS"
1.0,11.0,,,CORPORATE MANAGERS AND DIRECTORS
1.0,11.0,111.0,,Chief Executives and Senior Officials
1.0,11.0,111.0,1115.0,Chief executives and senior officials
1.0,11.0,111.0,1116.0,Elected officers and representatives
1.0,11.0,112.0,,Production Managers and Directors
1.0,11.0,112.0,1121.0,Production managers and directors in manufacturing
1.0,11.0,112.0,1122.0,Production managers and directors in construction
1.0,11.0,112.0,1123.0,Production managers and directors in mining and energy
1.0,11.0,113.0,,Functional Managers and Directors
1.0,11.0,113.0,1131.0,Financial managers and directors
1.0,11.0,113.0,1132.0,Marketing and sales directors
1.0,11.0,113.0,1133.0,Purchasing managers and directors
1.0,11.0,113.0,1134.0,Advertising and public relations directors
1.0,11.0,113.0,1135.0,Human resource managers and directors
1.0,11.0,113.0,1136.0,Information technology and telecommunications directors
1.0,11.0,113.0,1139.0,Functional managers and directors n.e.c.
1.0,11.0,115.0,,Financial Institution Managers and Directors
1.0,11.0,115.0,1150.0,Financial institution managers and directors
1.0,11.0,116.0,,Managers and Directors in Transport and Logistics
1.0,11.0,116.0,1161.0,Managers and directors in transport and distribution
1.0,11.0,116.0,1162.0,Managers and directors in storage and warehousing
1.0,11.0,117.0,,Senior Officers in Protective Services
1.0,11.0,117.0,1171.0,Officers in armed forces
1.0,11.0,117.0,1172.0,Senior police officers
1.0,11.0,117.0,1173.0,"Senior officers in fire, ambulance, prison and related services"
1.0,11.0,118.0,,Health and Social Services Managers and Directors
1.0,11.0,118.0,1181.0,Health services and public health managers and directors
1.0,11.0,118.0,1184.0,Social services managers and directors
1.0,11.0,119.0,,Managers and Directors in Retail and Wholesale
1.0,11.0,119.0,1190.0,Managers and directors in retail and wholesale
1.0,12.0,119.0,,OTHER MANAGERS AND PROPRIETORS
1.0,12.0,121.0,,Managers and Proprietors in Agriculture Related Services
1.0,12.0,121.0,1211.0,Managers and proprietors in agriculture and horticulture
1.0,12.0,121.0,1213.0,"Managers and proprietors in forestry, fishing and related services"
1.0,12.0,122.0,,Managers and Proprietors in Hospitality and Leisure Services
1.0,12.0,122.0,1221.0,Hotel and accommodation managers and proprietors
1.0,12.0,122.0,1223.0,Restaurant and catering establishment managers and proprietors
1.0,12.0,122.0,1224.0,Publicans and managers of licensed premises
1.0,12.0,122.0,1225.0,Leisure and sports managers
1.0,12.0,122.0,1226.0,Travel agency managers and proprietors
1.0,12.0,124.0,,Managers and Proprietors in Health and Care Services
1.0,12.0,124.0,1241.0,Health care practice managers
1.0,12.0,124.0,1242.0,"Residential, day and domiciliary  care managers and proprietors"
1.0,12.0,125.0,,Managers and Proprietors in Other Services
1.0,12.0,125.0,1251.0,"Property, housing and estate managers"
1.0,12.0,125.0,1252.0,Garage managers and proprietors
1.0,12.0,125.0,1253.0,Hairdressing and beauty salon managers and proprietors
1.0,12.0,125.0,1254.0,Shopkeepers and proprietors – wholesale and retail
1.0,12.0,125.0,1255.0,Waste disposal and environmental services managers
1.0,12.0,125.0,1259.0,Managers and proprietors in other services n.e.c.
2.0,,,,PROFESSIONAL OCCUPATIONS
2.0,21.0,,,"SCIENCE, RESEARCH, ENGINEERING AND TECHNOLOGY PROFESSIONALS"
2.0,21.0,211.0,,Natural and Social Science Professionals
2.0,21.0,211.0,2111.0,Chemical scientists
2.0,21.0,211.0,2112.0,Biological scientists and biochemists
2.0,21.0,211.0,2113.0,Physical scientists
2.0,21.0,211.0,2114.0,Social and humanities scientists
2.0,21.0,211.0,2119.0,Natural and social science professionals n.e.c.
2.0,21.0,212.0,,Engineering Professionals
2.0,21.0,212.0,2121.0,Civil engineers
2.0,21.0,212.0,2122.0,Mechanical engineers
