year,soc_occupation_code,soc_major,soc_minor,soc_unit,description,sex,emp_type,fp_time,value
2011,1,1,,,"MANAGERS, DIRECTORS AND SENIOR OFFICIALS",male,employees,full,1469653.0
2011,1,1,,,"MANAGERS, DIRECTORS AND SENIOR OFFICIALS",female,employees,full,608116.0
2011,1,1,,,"MANAGERS, DIRECTORS AND SENIOR OFFICIALS",male,employees,part,66058.0
2011,1,1,,,"MANAGERS, DIRECTORS AND SENIOR OFFICIALS",female,employees,part,135035.0
2011,1,1,,,"MANAGERS, DIRECTORS AND SENIOR OFFICIALS",male,self-employed,full,367651.0
2011,1,1,,,"MANAGERS, DIRECTORS AND SENIOR OFFICIALS",female,self-employed,full,115414.0
2011,1,1,,,"MANAGERS, DIRECTORS AND SENIOR OFFICIALS",male,self-employed,part,45328.0
2011,1,1,,,"MANAGERS, DIRECTORS AND SENIOR OFFICIALS",female,self-employed,part,55635.0
2011,111,1,11,,Chief Executives and Senior Officials,male,employees,full,39221.0
2011,111,1,11,,Chief Executives and Senior Officials,female,employees,full,14968.0
2011,111,1,11,,Chief Executives and Senior Officials,male,employees,part,12790.0
2011,111,1,11,,Chief Executives and Senior Officials,female,employees,part,
2011,111,1,11,,Chief Executives and Senior Officials,male,self-employed,full,
2011,111,1,11,,Chief Executives and Senior Officials,female,self-employed,full,
2011,111,1,11,,Chief Executives and Senior Officials,male,self-employed,part,
2011,111,1,11,,Chief Executives and Senior Officials,female,self-employed,part,
2011,1115,1,11,5,Chief executives and senior officials,male,employees,full,35303.0
2011,1115,1,11,5,Chief executives and senior officials,female,employees,full,11981.0
2011,1115,1,11,5,Chief executives and senior officials,male,employees,part,
2011,1115,1,11,5,Chief executives and senior officials,female,employees,part,
2011,1115,1,11,5,Chief executives and senior officials,male,self-employed,full,
2011,1115,1,11,5,Chief executives and senior officials,female,self-employed,full,
2011,1115,1,11,5,Chief executives and senior officials,male,self-employed,part,
2011,1115,1,11,5,Chief executives and senior officials,female,self-employed,part,
2011,1116,1,11,6,Elected officers and representatives,male,employees,full,
2011,1116,1,11,6,Elected officers and representatives,female,employees,full,
2011,1116,1,11,6,Elected officers and representatives,male,employees,part,
2011,1116,1,11,6,Elected officers and representatives,female,employees,part,
2011,1116,1,11,6,Elected officers and representatives,male,self-employed,full,
2011,1116,1,11,6,Elected officers and representatives,female,self-employed,full,
2011,1116,1,11,6,Elected officers and representatives,male,self-employed,part,
2011,1116,1,11,6,Elected officers and representatives,female,self-employed,part,
2011,112,1,12,,Production Managers and Directors,male,employees,full,303452.0
2011,112,1,12,,Production Managers and Directors,female,employees,full,26084.0
2011,112,1,12,,Production Managers and Directors,male,employees,part,
2011,112,1,12,,Production Managers and Directors,female,employees,part,
2011,112,1,12,,Production Managers and Directors,male,self-employed,full,64089.0
2011,112,1,12,,Production Managers and Directors,female,self-employed,full,
2011,112,1,12,,Production Managers and Directors,male,self-employed,part,
2011,112,1,12,,Production Managers and Directors,female,self-employed,part,
2011,1121,1,12,1,Production managers and directors in manufacturing,male,employees,full,190831.0
2011,1121,1,12,1,Production managers and directors in manufacturing,female,employees,full,14775.0
2011,1121,1,12,1,Production managers and directors in manufacturing,male,employees,part,
2011,1121,1,12,1,Production managers and directors in manufacturing,female,employees,part,
2011,1121,1,12,1,Production managers and directors in manufacturing,male,self-employed,full,25776.0
2011,1121,1,12,1,Production managers and directors in manufacturing,female,self-employed,full,
2011,1121,1,12,1,Production managers and directors in manufacturing,male,self-employed,part,
2011,1121,1,12,1,Production managers and directors in manufacturing,female,self-employed,part,
2011,1122,1,12,2,Production managers and directors in construction,male,employees,full,101187.0
2011,1122,1,12,2,Production managers and directors in construction,female,employees,full,9505.0
2011,1122,1,12,2,Production managers and directors in construction,male,employees,part,
2011,1122,1,12,2,Production managers and directors in construction,female,employees,part,
2011,1122,1,12,2,Production managers and directors in construction,male,self-employed,full,37843.0
2011,1122,1,12,2,Production managers and directors in construction,female,self-employed,full,
2011,1122,1,12,2,Production managers and directors in construction,male,self-employed,part,
2011,1122,1,12,2,Production managers and directors in construction,female,self-employed,part,
2011,1123,1,12,3,Production managers and directors in mining and energy,male,employees,full,11434.0
2011,1123,1,12,3,Production managers and directors in mining and energy,female,employees,full,
2011,1123,1,12,3,Production managers and directors in mining and energy,male,employees,part,
2011,1123,1,12,3,Production managers and directors in mining and energy,female,employees,part,
2011,1123,1,12,3,Production managers and directors in mining and energy,male,self-employed,full,
2011,1123,1,12,3,Production managers and directors in mining and energy,female,self-employed,full,
2011,1123,1,12,3,Production managers and directors in mining and energy,male,self-employed,part,
2011,1123,1,12,3,Production managers and directors in mining and energy,female,self-employed,part,
2011,113,1,13,,Functional Managers and Directors,male,employees,full,396900.0
2011,113,1,13,,Functional Managers and Directors,female,employees,full,181357.0
2011,113,1,13,,Functional Managers and Directors,male,employees,part,18174.0
2011,113,1,13,,Functional Managers and Directors,female,employees,part,54815.0
2011,113,1,13,,Functional Managers and Directors,male,self-employed,full,64419.0
2011,113,1,13,,Functional Managers and Directors,female,self-employed,full,18167.0
2011,113,1,13,,Functional Managers and Directors,male,self-employed,part,
2011,113,1,13,,Functional Managers and Directors,female,self-employed,part,13214.0
2011,1131,1,13,1,Financial managers and directors,male,employees,full,116300.0
2011,1131,1,13,1,Financial managers and directors,female,employees,full,55343.0
2011,1131,1,13,1,Financial managers and directors,male,employees,part,
2011,1131,1,13,1,Financial managers and directors,female,employees,part,28318.0
2011,1131,1,13,1,Financial managers and directors,male,self-employed,full,19791.0
2011,1131,1,13,1,Financial managers and directors,female,self-employed,full,9890.0
2011,1131,1,13,1,Financial managers and directors,male,self-employed,part,
2011,1131,1,13,1,Financial managers and directors,female,self-employed,part,
2011,1132,1,13,2,Marketing and sales directors,male,employees,full,116500.0
2011,1132,1,13,2,Marketing and sales directors,female,employees,full,32741.0
2011,1132,1,13,2,Marketing and sales directors,male,employees,part,
2011,1132,1,13,2,Marketing and sales directors,female,employees,part,
2011,1132,1,13,2,Marketing and sales directors,male,self-employed,full,22160.0
2011,1132,1,13,2,Marketing and sales directors,female,self-employed,full,
2011,1132,1,13,2,Marketing and sales directors,male,self-employed,part,
2011,1132,1,13,2,Marketing and sales directors,female,self-employed,part,
2011,1133,1,13,3,Purchasing managers and directors,male,employees,full,31814.0
2011,1133,1,13,3,Purchasing managers and directors,female,employees,full,12893.0
2011,1133,1,13,3,Purchasing managers and directors,male,employees,part,
2011,1133,1,13,3,Purchasing managers and directors,female,employees,part,
2011,1133,1,13,3,Purchasing managers and directors,male,self-employed,full,
2011,1133,1,13,3,Purchasing managers and directors,female,self-employed,full,
2011,1133,1,13,3,Purchasing managers and directors,male,self-employed,part,
2011,1133,1,13,3,Purchasing managers and directors,female,self-employed,part,
2011,1134,1,13,4,Advertising and public relations directors,male,employees,full,14054.0
2011,1134,1,13,4,Advertising and public relations directors,female,employees,full,
2011,1134,1,13,4,Advertising and public relations directors,male,employees,part,
2011,1134,1,13,4,Advertising and public relations directors,female,employees,part,
2011,1134,1,13,4,Advertising and public relations directors,male,self-employed,full,
2011,1134,1,13,4,Advertising and public relations directors,female,self-employed,full,
2011,1134,1,13,4,Advertising and public relations directors,male,self-employed,part,
2011,1134,1,13,4,Advertising and public relations directors,female,self-employed,part,
2011,1135,1,13,5,Human resource managers and directors,male,employees,full,43188.0
2011,1135,1,13,5,Human resource managers and directors,female,employees,full,50675.0
2011,1135,1,13,5,Human resource managers and directors,male,employees,part,
2011,1135,1,13,5,Human resource managers and directors,female,employees,part,10456.0
2011,1135,1,13,5,Human resource managers and directors,male,self-employed,full,
2011,1135,1,13,5,Human resource managers and directors,female,self-employed,full,
2011,1135,1,13,5,Human resource managers and directors,male,self-employed,part,
2011,1135,1,13,5,Human resource managers and directors,female,self-employed,part,
2011,1136,1,13,6,Information technology and telecommunications directors,male,employees,full,37365.0
2011,1136,1,13,6,Information technology and telecommunications directors,female,employees,full,
2011,1136,1,13,6,Information technology and telecommunications directors,male,employees,part,
2011,1136,1,13,6,Information technology and telecommunications directors,female,employees,part,
2011,1136,1,13,6,Information technology and telecommunications directors,male,self-employed,full,
2011,1136,1,13,6,Information technology and telecommunications directors,female,self-employed,full,
2011,1136,1,13,6,Information technology and telecommunications directors,male,self-employed,part,
2011,1136,1,13,6,Information technology and telecommunications directors,female,self-employed,part,
2011,1139,1,13,9,Functional managers and directors n.e.c.,male,employees,full,37679.0
2011,1139,1,13,9,Functional managers and directors n.e.c.,female,employees,full,20870.0
2011,1139,1,13,9,Functional managers and directors n.e.c.,male,employees,part,
2011,1139,1,13,9,Functional managers and directors n.e.c.,female,employees,part,
2011,1139,1,13,9,Functional managers and directors n.e.c.,male,self-employed,full,
2011,1139,1,13,9,Functional managers and directors n.e.c.,female,self-employed,full,
2011,1139,1,13,9,Functional managers and directors n.e.c.,male,self-employed,part,
2011,1139,1,13,9,Functional managers and directors n.e.c.,female,self-employed,part,
2011,115,1,15,,Financial Institution Managers and Directors,male,employees,full,60275.0
2011,115,1,15,,Financial Institution Managers and Directors,female,employees,full,25087.0
2011,115,1,15,,Financial Institution Managers and Directors,male,employees,part,
2011,115,1,15,,Financial Institution Managers and Directors,female,employees,part,
2011,115,1,15,,Financial Institution Managers and Directors,male,self-employed,full,
2011,115,1,15,,Financial Institution Managers and Directors,female,self-employed,full,
2011,115,1,15,,Financial Institution Managers and Directors,male,self-employed,part,
2011,115,1,15,,Financial Institution Managers and Directors,female,self-employed,part,
2011,1150,1,15,0,Financial institution managers and directors,male,employees,full,60275.0
2011,1150,1,15,0,Financial institution managers and directors,female,employees,full,25087.0
2011,1150,1,15,0,Financial institution managers and directors,male,employees,part,
2011,1150,1,15,0,Financial institution managers and directors,female,employees,part,
2011,1150,1,15,0,Financial institution managers and directors,male,self-employed,full,
2011,1150,1,15,0,Financial institution managers and directors,female,self-employed,full,
